,Akcje,C/WK,C/Z,Kapitalizacja na koniec miesiąca (mln),Kapitalizacja na koniec okresu (mln),Stopa,Unnamed: 5,Wartość,Wielkość,okres
53,51 NFIEMF,"1,02",x,,"203 50 0,20",---,,"198,20","30,06",2002-07
54,52 AMS,"3,71",x,,"181 44 0,18",---,,"48,82","4,22",2002-07
55,53 FARMACOL,"0,95","7,1",,"180 44 0,18",---,,"190,25","7,80",2002-07
56,54 MENNICA,"0,70","23,0",,"178 44 0,18","3,7",,"254,18","6,57",2002-07
57,55 ORFE,"0,93","7,0",,"159 39 0,16",---,,"171,41","7,96",2002-07
58,56 GRUPAONET,"1,53","53,2",,"153 37 0,15",---,,"99,60","6,88",2002-07
59,57 GROCLIN,"1,59","6,3",,"152 37 0,15","1,3",,"95,50","5,00",2002-07
60,58 LPP,"2,29","11,8",,"136 33 0,14",---,,"59,61","1,51",2002-07
61,59 06MAGNA,"0,59","7,9",,"133 32 0,13","7,9",,"226,20","30,06",2002-07
62,60 TUEUROPA,"2,41","11,7",,"125 31 0,12",---,,"51,83","7,88",2002-07
63,61 SANOK,"0,76","12,8",,"121 30 0,12",---,,"159,37","4,53",2002-07
64,62 13FORTUNA,"0,63","10,0",,"117 29 0,12",---,,"185,31","30,06",2002-07
65,63 COMPENSA,"10,64",x,,"113 28 0,11",---,,"10,61","10,60",2002-07
66,64 14ZACH,"0,66",x,,"113 28 0,11",---,,"170,44","30,06",2002-07
67,65 AGROS,"0,40",x,,"110 27 0,11",---,,"273,30","11,00",2002-07
68,66 7BULLS,"2,35",x,,"105 26 0,10",---,,"44,64","12,73",2002-07
69,67 ABG,"1,40","229,4",,"101 25 0,10",---,,"71,87","11,32",2002-07
70,68 KROSNO,"0,81","40,6",,"96 23 0,10","2,6",,"118,60","2,53",2002-07
71,69 NETIA,x,x,,"91 22 0,09",---,,"-139,50","31,42",2002-07
72,70 MOSTALWAR,"0,67",x,,"90 22 0,09",---,,"134,42","10,00",2002-07
73,71 POLAR,"0,87",x,,"89 22 0,09",---,,"102,29","14,30",2002-07
74,72 04PRO,"0,59",x,,"89 22 0,09",---,,"152,20","30,06",2002-07
75,73 ELDORADO,"1,48","13,7",,"88 22 0,09",---,,"59,43","6,64",2002-07
76,74 01NFI,"0,48","32,5",,"87 21 0,09",---,,"179,41","30,06",2002-07
77,75 STALPROD,"0,64",x,,"86 21 0,09",---,,"134,50","6,73",2002-07
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2002-08
1,Shares,P/BV,P/E,,Market capitalisation at the period-end (mil),Dividend,,Book,Shares,2002-08
2,,,,,PLN EUR %,yield (%),,value (PLN mil),outstanding (mil),2002-08
3,1 TPSA,"1,41","213,9",,"18 130 4 443 17,26",---,,"12 868,81","1 400,00",2002-08
4,2 PEKAO,"2,28","16,5",,"14 602 3 578 13,90","4,3",,"6 409,59","165,75",2002-08
5,3 HANDLOWY,"1,44","52,0",,"8 453 2 071 8,05","1,9",,"5 864,08","125,23",2002-08
6,4 PKNORLEN,"1,02","30,9",,"7 206 1 766 6,86","0,7",,"7 034,26","420,18",2002-08
7,5 BANKBPH,"1,26","20,0",,"6 289 1 541 5,99","1,7",,"4 977,55","28,72",2002-08
8,6 INGBSK,"1,88","47,1",,"5 074 1 243 4,83","0,4",,"2 703,56","13,01",2002-08
9,7 BZWBK,"1,97","31,4",,"4 750 1 164 4,52","0,6",,"2 416,48","72,96",2002-08
10,8 ZYWIEC,"1,26","102,9",,"3 820 936 3,64",---,,"3 034,84","11,34",2002-08
11,9 AGORA,"3,10","40,2",,"3 178 779 3,03",---,,"1 023,72","56,76",2002-08
12,10 MILLENNIUM,"1,72","17,9",,"2 599 637 2,47",---,,"1 510,89","849,18",2002-08
13,11 KREDYTB,"1,12",x,,"2 352 576 2,24","1,3",,"2 092,10","147,90",2002-08
14,12 KGHM,"0,57",x,,"2 200 539 2,09",---,,"3 834,75","200,00",2002-08
15,13 BRE,"1,07","32,5",,"2 044 501 1,95","11,2",,"1 918,50","22,97",2002-08
16,14 SWIECIE,"2,29","12,9",,"1 535 376 1,46","5,5",,"669,33","50,00",2002-08
17,15 PROKOM,"2,38","13,2",,"1 508 369 1,44",---,,"633,15","13,46",2002-08
18,16 EFL,"1,78","31,6",,"1 349 331 1,28",---,,"758,71","44,68",2002-08
19,17 WARTA,"1,20","16,2",,"975 239 0,93","1,8",,"814,14","8,13",2002-08
20,18 STOMIL,"1,45","10,8",,"906 222 0,86",---,,"626,73","27,22",2002-08
21,19 ORBIS,"0,60","20,5",,"834 204 0,79","2,2",,"1 387,78","46,08",2002-08
22,20 COMPLAND,"4,11","20,6",,"707 173 0,67",---,,"171,91","6,73",2002-08
23,21 BUDIMEX,"1,24","238,5",,"689 169 0,66",---,,"555,52","25,53",2002-08
24,22 DZPOLSKA,"3,26",x,,"668 164 0,64",---,,"204,78","41,00",2002-08
25,23 DEBICA,"0,98","14,1",,"571 140 0,54","0,7",,"583,38","13,80",2002-08
26,24 BOS,"0,96",x,,"541 133 0,52",---,,"563,27","13,20",2002-08
27,25 KABLEHOLD,"0,85",x,,"538 132 0,51",---,,"635,94","119,57",2002-08
28,26 CERSANIT,"3,60","100,9",,"465 114 0,44",---,,"129,13","11,63",2002-08
29,27 LGPETRO,"1,57",x,,"454 111 0,43",---,,"289,97","22,26",2002-08
30,28 KETY,"1,36","103,7",,"441 108 0,42","2,4",,"324,00","10,50",2002-08
31,29 DBPBC,"2,05","65,7",,"377 92 0,36",---,,"183,60","336,27",2002-08
32,30 PGF,"1,59","25,9",,"362 89 0,34",---,,"227,16","12,24",2002-08
33,31 AMICA,"1,83","20,7",,"341 84 0,32",---,,"186,39","8,74",2002-08
34,32 FORTISPL,"0,65","11,8",,"333 82 0,32",---,,"509,28","15,08",2002-08
35,33 MITEX,"2,32","12,0",,"316 77 0,30",---,,"136,17","20,52",2002-08
36,34 08OCTAVA,"1,33",x,,"313 77 0,30",---,,"234,93","30,06",2002-08
37,35 JELFA,"0,91","13,2",,"311 76 0,30","4,8",,"341,63","6,80",2002-08
38,36 ECHO,"1,34","25,4",,"301 74 0,29",---,,"225,26","3,50",2002-08
39,37 FORTWRO,"0,69","11,9",,"291 71 0,28",---,,"419,32","50,60",2002-08
40,38 GRAJEWO,"1,18","8,0",,"284 70 0,27",---,,"241,78","5,16",2002-08
41,39 OKOCIM,"0,78",x,,"273 67 0,26",---,,"349,27","22,00",2002-08
42,40 POLIFARBC,"0,73","33,1",,"254 62 0,24",---,,"348,52","45,36",2002-08
43,41 SOFTBANK,"0,84","11,1",,"246 60 0,23",---,,"293,87","17,41",2002-08
44,42 POLFKUTNO,"1,93","10,9",,"238 58 0,23",---,,"123,32","1,92",2002-08
45,43 JUPITER,"0,68",x,,"231 57 0,22",---,,"341,96","60,11",2002-08
46,44 ELEKTRIM,"0,07","3,1",,"220 54 0,21",---,,"3 383,77","83,77",2002-08
47,45 SOKOLOW,"0,77",x,,"216 53 0,21",---,,"280,42","100,19",2002-08
48,46 NORDEABP,"0,69",x,,"212 52 0,20",---,,"306,70","16,93",2002-08
49,47 NFIEMF,"1,07",x,,"209 51 0,20",---,,"195,95","30,06",2002-08
50,48 COMARCH,"1,61","24,6",,"207 51 0,20",---,,"128,63","7,23",2002-08
51,49 KOGENERA,"0,32",x,,"206 50 0,20","3,6",,"645,79","14,90",2002-08
52,50 GROCLIN,"2,10","9,9",,"205 50 0,20","1,0",,"97,73","5,00",2002-08
53,51 FARMACOL,"1,08","7,5",,"203 50 0,19",---,,"187,10","7,80",2002-08
54,52 09KWIAT,"0,82",x,,"201 49 0,19","2,7",,"246,50","30,06",2002-08
55,53 ORFE,"1,11","8,8",,"199 49 0,19",---,,"179,30","7,96",2002-08
56,54 AMS,"4,82",x,,"187 46 0,18",---,,"38,85","4,22",2002-08
57,55 MENNICA,"0,69","67,9",,"170 42 0,16","3,9",,"244,90","6,57",2002-08
58,56 GRUPAONET,"1,50","44,0",,"154 38 0,15",---,,"102,03","6,88",2002-08
59,57 LPP,"2,22","11,9",,"144 35 0,14",---,,"64,70","1,51",2002-08
60,58 COMPENSA,x,x,,"128 31 0,12",---,,"-0,25","10,60",2002-08
61,59 TUEUROPA,"2,30","12,3",,"126 31 0,12",---,,"54,69","7,88",2002-08
62,60 06MAGNA,"0,58","7,4",,"123 30 0,12","8,6",,"210,03","30,06",2002-08
63,61 SANOK,"0,75","12,6",,"120 29 0,11",---,,"159,37","4,53",2002-08
